,Review,Liked,aspect_category
0,Wow... Loved this place.,positive,B001E4KFG0
1,Crust is not good.,negative,B00813GRG4
2,Not tasty and the texture was just nasty.,negative,B000LQOCH0
3,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,positive,B000UA0QIQ
4,The selection on the menu was great and so were the prices.,positive,B006K2ZZ7K
5,Now I am getting angry and I want my damn pho.,negative,B006K2ZZ7K
6,Honeslty it didn't taste THAT fresh.),negative,B006K2ZZ7K
7,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,negative,B006K2ZZ7K
8,The fries were great too.,positive,B000E7L2R4
9,A great touch.,positive,B00171APVA
10,Service was very prompt.,positive,B0001PB9FE
11,Would not go back.,negative,B0009XLVG0
12,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,negative,B0009XLVG0
13,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",positive,B001GVISJM
14,I was disgusted because I was pretty sure that was human hair.,negative,B001GVISJM
15,I was shocked because no signs indicate cash only.,negative,B001GVISJM
16,Highly recommended.,positive,B001GVISJM
17,Waitress was a little slow in service.,negative,B001GVISJM
18,"This place is not worth your time, let alone Vegas.",negative,B001GVISJM
19,did not like at all.,negative,B001GVISJM
20,The Burrittos Blah!,negative,B001GVISJM
21,"The food, amazing.",positive,B001GVISJM
22,Service is also cute.,positive,B001GVISJM
23,I could care less... The interior is just beautiful.,positive,B001GVISJM
24,So they performed.,positive,B001GVISJM
25,That's right....the red velvet cake.....ohhh this stuff is so good.,positive,B001GVISJM
26,- They never brought a salad we asked for.,negative,B001GVISJM
27,"This hole in the wall has great Mexican street tacos, and friendly staff.",positive,B001GVISJM
28,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",negative,B00144C10S
29,The worst was the salmon sashimi.,negative,B0001PB9FY
30,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",positive,B003F6UO7K
31,This was like the final blow!,negative,B003F6UO7K
32,I found this place by accident and I could not be happier.,positive,B001EO5QW8
33,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",negative,B001EO5QW8
34,"Overall, I like this place a lot.",positive,B001EO5QW8
35,The only redeeming quality of the restaurant was that it was very inexpensive.,positive,B001EO5QW8
36,Ample portions and good prices.,positive,B001EO5QW8
37,"Poor service, the waiter made me feel like I was stupid every time he came to the table.",negative,B001EO5QW8
38,My first visit to Hiro was a delight!,positive,B001EO5QW8
39,Service sucks.,negative,B001EO5QW8
40,The shrimp tender and moist.,positive,B001EO5QW8
41,There is not a deal good enough that would drag me into that establishment again.,negative,B001EO5QW8
42,Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,negative,B001EO5QW8
43,"On a positive note, our server was very attentive and provided great service.",positive,B001EO5QW8
44,"Frozen pucks of disgust, with some of the worst people behind the register.",negative,B001EO5QW8
45,The only thing I did like was the prime rib and dessert section.,positive,B001EO5QW8
46,It's too bad the food is so damn generic.,negative,B001EO5QW8
47,"The burger is good beef, cooked just right.",positive,B001EO5QW8
48,If you want a sandwich just go to any Firehouse!!!!!,positive,B001EO5QW8
49,"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",positive,B001EO5QW8
50,We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,positive,B001EO5QW8
51,He came running after us when he realized my husband had left his sunglasses on the table.,positive,B000G6RPMY
52,Their chow mein is so good!,positive,B000G6RPMY
53,"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",negative,B000G6RPMY
54,The portion was huge!,positive,B002GWHC0G
55,"Loved it...friendly servers, great food, wonderful and imaginative menu.",positive,B002GWHC0G
56,The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,negative,B004N5KULM
57,Not much seafood and like 5 strings of pasta at the bottom.,negative,B004N5KULM
58,"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",positive,B004N5KULM
59,"The ripped banana was not only ripped, but petrified and tasteless.",negative,B004N5KULM
60,At least think to refill my water before I struggle to wave you over for 10 minutes.,negative,B004N5KULM
61,This place receives stars for their APPETIZERS!!!,positive,B004N5KULM
62,The cocktails are all handmade and delicious.,positive,B001EO5TPM
63,We'd definitely go back here again.,positive,B005DUM9UQ
64,We are so glad we found this place.,positive,B005DUM9UQ
65,"Great food and service, huge portions and they give a military discount.",positive,B005DUM9UQ
66,Always a great time at Dos Gringos!,positive,B005DUM9UQ
67,Update.....went back for a second time and it was still just as amazing,positive,B005DUM9UQ
